timestamp_s,latitude,longitude,altitude(m),heading_deg
9.500,18.5203981,73.8566988,0.768,90.0
9.600,18.5203970,73.8566985,0.703,90.0
9.700,18.5203974,73.8566985,0.659,90.0
9.800,18.5203984,73.8566992,0.612,90.0
9.900,18.5203990,73.8567002,0.609,90.0
10.000,18.5203979,73.8567008,0.565,90.0
10.100,18.5203976,73.8567005,0.520,90.0
10.200,18.5203975,73.8567008,0.434,90.0
10.300,18.5203974,73.8567008,0.415,90.0
10.400,18.5203967,73.8566999,0.345,90.0
10.500,18.5203963,73.8567008,0.287,90.0
10.600,18.5203961,73.8567015,0.270,90.0
10.700,18.5203950,73.8567021,0.243,90.0
10.800,18.5203953,73.8567020,0.249,90.0
10.900,18.5203938,73.8567009,0.240,90.0
11.000,18.5203939,73.8567011,0.257,90.0
11.100,18.5203934,73.8567003,0.214,90.0
11.200,18.5203935,73.8567011,0.211,90.0
11.300,18.5203946,73.8567013,0.167,90.0
11.400,18.5203957,73.8567011,0.117,90.0
11.500,18.5203962,73.8567014,0.083,90.0
11.600,18.5203955,73.8567024,0.087,90.0
11.700,18.5203954,73.8567019,0.060,90.0
11.800,18.5203959,73.8567023,0.068,90.0
11.900,18.5203965,73.8567031,0.097,90.0
12.000,18.5203977,73.8567042,0.085,90.0
12.100,18.5203984,73.8567034,0.114,90.0
12.200,18.5203981,73.8567033,0.102,90.0
12.300,18.5203981,73.8567029,0.067,90.0
12.400,18.5203969,73.8567036,0.110,90.0
12.500,18.5203970,73.8567053,0.068,90.0
12.600,18.5203956,73.8567061,0.012,90.0
12.700,18.5203945,73.8567055,0.001,90.0
12.800,18.5203935,73.8567054,0.030,90.0
12.900,18.5203937,73.8567063,0.040,90.0
13.000,18.5203943,73.8567071,0.004,90.0
13.100,18.5203946,73.8567071,0.022,90.0
13.200,18.5203941,73.8567059,0.098,90.0
13.300,18.5203926,73.8567058,0.141,90.0
13.400,18.5203930,73.8567068,0.213,90.0
13.500,18.5203935,73.8567072,0.227,90.0
13.600,18.5203936,73.8567070,0.278,90.0
13.700,18.5203942,73.8567068,0.335,90.0
13.800,18.5203958,73.8567072,0.413,90.0
13.900,18.5203946,73.8567070,0.419,90.0
14.000,18.5203943,73.8567059,0.458,90.0
14.100,18.5203938,73.8567068,0.482,90.0
14.200,18.5203929,73.8567077,0.538,90.0
14.300,18.5203920,73.8567087,0.540,90.0
14.400,18.5203927,73.8567083,0.553,90.0
14.500,18.5203930,73.8567088,0.576,90.0
14.600,18.5203933,73.8567089,0.645,90.0
14.700,18.5203931,73.8567103,0.744,90.0
14.800,18.5203926,73.8567100,0.759,90.0
14.900,18.5203923,73.8567103,0.782,90.0
15.000,18.5203929,73.8567110,0.829,90.0
15.100,18.5203940,73.8567115,0.945,90.0
15.200,18.5203926,73.8567109,1.013,90.0
15.300,18.5203923,73.8567112,1.057,90.0
15.400,18.5203928,73.8567108,1.113,90.0
15.500,18.5203926,73.8567109,1.181,90.0
15.600,18.5203922,73.8567114,1.271,90.0
15.700,18.5203913,73.8567118,1.314,90.0
15.800,18.5203913,73.8567120,1.357,90.0
15.900,18.5203915,73.8567132,1.389,90.0
16.000,18.5203918,73.8567121,1.479,90.0
16.100,18.5203916,73.8567120,1.531,90.0
