timestamp_s,lat,lon,alt_m,alt_source,fix_quality,source_row
14.700,18.5203931,73.8567103,0.744,rel_alt,ok,147
14.800,18.5203926,73.8567100,0.759,rel_alt,ok,148
14.900,18.5203923,73.8567103,0.782,rel_alt,ok,149
15.000,18.5203929,73.8567110,0.829,rel_alt,ok,150
15.100,18.5203940,73.8567115,0.945,rel_alt,ok,151
15.200,18.5203926,73.8567109,1.013,rel_alt,ok,152
15.300,18.5203923,73.8567112,1.057,rel_alt,ok,153
15.400,18.5203928,73.8567108,1.113,rel_alt,ok,154
15.500,18.5203926,73.8567109,1.181,rel_alt,ok,155
15.600,18.5203922,73.8567114,1.271,rel_alt,ok,156
15.700,18.5203913,73.8567118,1.314,rel_alt,ok,157
15.800,18.5203913,73.8567120,1.357,rel_alt,ok,158
15.900,18.5203915,73.8567132,1.389,rel_alt,ok,159
16.000,18.5203918,73.8567121,1.479,rel_alt,ok,160
16.100,18.5203916,73.8567120,1.531,rel_alt,ok,161
